ID,Name,Category,Points,Team
1,Dhoni,WK,9,C
2,DK,WK,9,K
3,Narayan,WK,8,C
4,Nikhil Naik,WK,8,K
5,Tim,WK,8,K
6,Du Pls,BAT,9.5,C
7,Watson,BAT,9,C
8,Rayadu,BAT,9,C
9,Gill,BAT,9.5,K
10,Morgon,BAT,9.5,K
11,RANA,BAT,8.5,K
12,JADAV,BAT,8,C
